sprint,data_snapshot,issue_number,titulo,status,assignees,url
S03,2026-08-26,8,Definição da arquitetura base do cliente GraphQL,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/8
S03,2026-08-26,19,Paginação da consulta para 1000 repositórios,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/19
S03,2026-08-26,5,[RQ05] - Coleta: linguagem primária e comparação com ranking de mercado,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/5
S03,2026-08-26,7,Integração do script único de consulta,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/7
S03,2026-08-26,21,[RQ01 e RQ02] - Validação + hipótese informal,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/21
S03,2026-08-26,15,Padronização e organização da estrutura do código,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/15
S03,2026-08-26,3,[RQ03] - Coleta: frequência de releases,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/3
S03,2026-08-26,4,[RQ04] - Coleta: frequência de atualização,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/4
S03,2026-08-26,23,[RQ05 e RQ06] - Validação + hipótese informal,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/23
S03,2026-08-26,30,Dashboard exploratório dos 1000 repositórios,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/30
S03,2026-08-26,24,Rascunho do relatório: introdução e hipóteses informais,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/24
S03,2026-08-26,44,[RQ03 e RQ04] - Análise e gráficos: releases e atualização,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/44
S03,2026-08-26,51,Relatório: resultados por RQ,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/51
S03,2026-08-26,34,Índice composto de saúde/maturidade do repositório,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/34
